#http://mips.as.arizona.edu/~cnaw/sun.html -- https://ui.adsabs.harvard.edu/abs/2018ApJS..236...47W/abstract
#filter,λ_mean(μm),λ_pivot(μm),λ_eff(μm),λ_n(Rieke)(μm),λ_n(Reach)(μm),λ_iso(Rieke)(μm),λ_iso(BM12)(μm),λ_range(μm),Bandwidth(μm),FWHM(μm),Response,zp,f_λ(zp)(ergsec^-1cm^-2(Å)^-1),f_ν(zp)(Jy)
Johnson_U,0.3618,0.3611,0.3694,0.3633,0.3603,0.3691,0.3719,0.1238,0.0581,0.0561,0.4693,20.9170,4.29723E-09,1868.72
Johnson_B,0.4410,0.4396,0.4390,0.4438,0.4382,0.3896,0.3911,0.1856,0.0992,0.1004,0.5345,20.4951,6.33795E-09,4085.60
Johnson_V,0.5524,0.5511,0.5476,0.5551,0.5499,0.5527,0.5510,0.2657,0.0871,0.0812,0.3275,21.1011,3.62701E-09,3674.73
Cousins_R,0.6612,0.6582,0.6492,0.6674,0.6553,0.6545,0.6545,0.3322,0.1669,0.1671,0.5024,21.6781,2.13191E-09,3080.98
Cousins_I,0.8047,0.8034,0.7993,0.8074,0.8020,0.8006,0.8008,0.2163,0.1482,0.1523,0.6850,22.3469,1.15139E-09,2478.76
Tycho_Bt,0.4220,0.4212,0.4234,0.4237,0.4204,0.3944,0.3938,0.1548,0.0741,0.0739,0.4790,20.4332,6.70971E-09,3970.61
Tycho_Vt,0.5352,0.5335,0.5291,0.5389,0.5317,0.5359,0.5316,0.2263,0.1134,0.1116,0.5009,21.0088,3.94906E-09,3748.93
Hipparcos_Hp,0.5596,0.5508,0.5315,0.5780,0.5421,0.5467,0.5522,0.5772,0.2405,0.2237,0.4166,21.1107,3.59516E-09,3638.04
2MASS_J,1.2411,1.2393,1.2321,1.2445,1.2376,1.2378,1.2377,0.3523,0.1628,0.2027,0.4611,23.7442,3.17931E-10,1628.84
2MASS_H,1.6513,1.6495,1.6424,1.6551,1.6476,1.6467,1.6467,0.3826,0.2510,0.2610,0.6559,24.8385,1.16041E-10,1053.12
2MASS_Ks,2.1656,2.1638,2.1558,2.1691,2.1621,2.1622,2.1625,0.4401,0.2622,0.2785,0.5951,25.8980,4.37335E-11,683.04
SDSS_u,0.3562,0.3556,0.3607,0.3572,0.3551,0.3642,0.3663,0.0983,0.0558,0.0582,0.0616,21.0632,3.75600E-09,1584.71
